epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.1665,1.12419,2.76567,0.01266,0,0,0,0,0.66264,4.29764,0.00872,0.000196552,0.000196552,0.0805414
2,147.207,1.0571,1.72029,0.01286,0.58942,0.3387,0.50319,0.38666,0.77704,2.27778,0.00996,0.000396164,0.000396164,0.060741
3,227.504,0.96651,1.41053,0.01204,0.65894,0.53731,0.61523,0.49312,0.83785,1.51092,0.01322,0.000594223,0.000594223,0.0409391
4,304.385,0.89789,1.33456,0.01029,0.64689,0.72988,0.78117,0.62993,0.71726,1.08637,0.01031,0.000789568,0.000789568,0.0211344
5,380.547,0.91533,1.27096,0.01027,0.76284,0.78139,0.80015,0.64929,0.65536,1.13821,0.00936,0.000981054,0.000981054,0.00132588
6,455.276,0.88217,1.17754,0.01043,0.7536,0.68946,0.8214,0.64971,0.75991,0.97338,0.01138,0.000975773,0.000975773,0.000975773
7,527.31,0.91038,1.14241,0.01051,0.70045,0.74873,0.80361,0.60712,0.92001,1.11934,0.01276,0.000965239,0.000965239,0.000965239
8,602.02,0.90324,1.09313,0.01023,0.77315,0.69547,0.8114,0.61164,0.93554,0.92477,0.01444,0.000952889,0.000952889,0.000952889
9,674.758,0.85934,1.02397,0.01074,0.75595,0.74297,0.85543,0.63389,0.98327,1.22099,0.01524,0.000938772,0.000938772,0.000938772
10,772.266,0.86324,0.99668,0.01017,0.83393,0.74385,0.86666,0.69032,0.869,0.80955,0.01301,0.000922942,0.000922942,0.000922942
11,920.811,0.79957,0.87446,0.00905,0.81172,0.76394,0.8547,0.66218,0.92215,0.92467,0.01288,0.000905463,0.000905463,0.000905463
12,1120.05,0.7966,0.90857,0.00959,0.89988,0.74682,0.86714,0.71263,0.70388,0.86937,0.00951,0.000886404,0.000886404,0.000886404
13,1261.18,0.81924,0.82298,0.01028,0.86997,0.85076,0.91612,0.75071,0.73128,0.77574,0.0104,0.000865839,0.000865839,0.000865839
14,1343.51,0.83069,0.84743,0.00946,0.74386,0.83639,0.8678,0.69916,0.85039,1.15853,0.0132,0.000843851,0.000843851,0.000843851
15,1409.89,0.87249,0.80165,0.00996,0.8321,0.90681,0.92971,0.73106,0.79628,0.68185,0.01068,0.000820525,0.000820525,0.000820525
16,1475.57,0.76845,0.66131,0.00873,0.78852,0.83086,0.89318,0.72308,0.72819,0.80734,0.01042,0.000795954,0.000795954,0.000795954
17,1541.79,0.83617,0.71246,0.0095,0.82511,0.90556,0.92525,0.75417,0.7079,0.75866,0.00953,0.000770234,0.000770234,0.000770234
18,1609.3,0.82057,0.69225,0.0094,0.84367,0.87615,0.90867,0.70368,0.87399,0.78484,0.01276,0.000743468,0.000743468,0.000743468
19,1677.56,0.81312,0.71595,0.00902,0.89922,0.78903,0.91011,0.77737,0.57804,0.68007,0.00784,0.000715761,0.000715761,0.000715761
20,1742.92,0.78177,0.64785,0.00884,0.85717,0.92442,0.94068,0.75295,0.78915,0.65916,0.01099,0.000687222,0.000687222,0.000687222
21,1812.45,0.80404,0.6592,0.00929,0.90364,0.88011,0.94693,0.70236,0.90532,0.70197,0.01387,0.000657963,0.000657963,0.000657963
22,1884.65,0.78881,0.60281,0.00899,0.88405,0.84635,0.92111,0.73746,0.80051,0.75768,0.01129,0.000628101,0.000628101,0.000628101
23,1958.77,0.80644,0.65329,0.00947,0.92626,0.87374,0.93406,0.71963,0.81016,0.77159,0.01138,0.000597754,0.000597754,0.000597754
24,2054.6,0.77702,0.61357,0.00894,0.74877,0.84996,0.8814,0.7134,0.71248,0.88665,0.0101,0.00056704,0.00056704,0.00056704
